Team A0 1,Team B0 7
Team A342 3,Team B342 1
Team A343 5,Team B343 0
Team A344 5,Team B344 7
Team A345 9,Team B345 8
Team A346 9,Team B346 5
Team A347 5,Team B347 3
Team A348 0,Team B348 0
Team A349 9,Team B349 3
Team A350 1,Team B350 2
Team A351 8,Team B351 1
Team A352 6,Team B352 9
Team A353 5,Team B353 5
Team A354 1,Team B354 8
Team A355 4,Team B355 3
Team A356 6,Team B356 5
Team A357 0,Team B357 6
Team A358 6,Team B358 3
Team A359 8,Team B359 1
Team A360 2,Team B360 9
Team A361 3,Team B361 3
Team A362 7,Team B362 2
Team A363 3,Team B363 3
Team A364 5,Team B364 0
Team A365 7,Team B365 1
Team A366 1,Team B366 7
Team A367 8,Team B367 7
Team A368 9,Team B368 4
Team A369 6,Team B369 2
Team A370 4,Team B370 8
Team A371 7,Team B371 0
Team A372 2,Team B372 8
Team A373 5,Team B373 7
Team A374 4,Team B374 8
Team A375 8,Team B375 7
Team A376 3,Team B376 4
Team A377 2,Team B377 1
Team A378 1,Team B378 8
Team A379 2,Team B379 8
Team A380 0,Team B380 1
Team A381 1,Team B381 1
Team A382 4,Team B382 7
Team A383 6,Team B383 8
Team A384 4,Team B384 4
Team A385 7,Team B385 8
Team A386 3,Team B386 4
Team A387 5,Team B387 2
Team A388 5,Team B388 9
Team A389 7,Team B389 8
Team A390 2,Team B390 5
Team A391 6,Team B391 8
Team A392 9,Team B392 2
Team A393 1,Team B393 5
Team A394 2,Team B394 4
Team A395 0,Team B395 9
Team A396 3,Team B396 4
Team A397 0,Team B397 0
Team A398 9,Team B398 7
Team A399 5,Team B399 5
Team A400 8,Team B400 3
Team A401 5,Team B401 3
Team A402 1,Team B402 0
Team A403 2,Team B403 2
Team A404 2,Team B404 8
Team A405 4,Team B405 8
Team A406 9,Team B406 8
Team A407 9,Team B407 6
Team A408 6,Team B408 7
Team A409 2,Team B409 8
Team A410 4,Team B410 3
Team A411 6,Team B411 3
Team A412 1,Team B412 3
Team A413 4,Team B413 5
Team A414 0,Team B414 6
Team A415 5,Team B415 3
Team A416 8,Team B416 1
Team A417 1,Team B417 0
Team A418 2,Team B418 8
Team A419 4,Team B419 6
Team A420 2,Team B420 3
Team A421 1,Team B421 5
Team A422 1,Team B422 9
Team A423 8,Team B423 4
Team A424 1,Team B424 3
Team A425 6,Team B425 1
Team A426 6,Team B426 6
Team A427 9,Team B427 6
Team A428 7,Team B428 4
Team A429 7,Team B429 3
Team A430 6,Team B430 1
Team A431 4,Team B431 3
Team A432 9,Team B432 1
Team A433 3,Team B433 4
Team A434 0,Team B434 2
Team A435 1,Team B435 7
Team A436 0,Team B436 7
Team A437 4,Team B437 3
Team A438 7,Team B438 3
Team A439 1,Team B439 8
Team A440 7,Team B440 4
Team A441 6,Team B441 6
Team A442 5,Team B442 5
Team A443 5,Team B443 5
Team A444 9,Team B444 1
Team A445 3,Team B445 4
Team A446 9,Team B446 7
Team A447 3,Team B447 6
Team A448 0,Team B448 3
Team A449 0,Team B449 7
Team A450 7,Team B450 2
Team A451 4,Team B451 8
Team A452 1,Team B452 5
Team A453 7,Team B453 2
Team A454 3,Team B454 9
Team A455 4,Team B455 4
Team A456 9,Team B456 8
Team A457 2,Team B457 8
Team A458 0,Team B458 0
Team A459 8,Team B459 7
Team A460 5,Team B460 3
Team A461 9,Team B461 5
Team A462 0,Team B462 2
Team A463 1,Team B463 2
Team A464 9,Team B464 6
Team A465 7,Team B465 8
Team A466 6,Team B466 8
Team A467 3,Team B467 8
Team A468 3,Team B468 6
Team A469 3,Team B469 4
Team A470 1,Team B470 3
Team A471 8,Team B471 6
Team A472 4,Team B472 4
Team A473 3,Team B473 0
Team A474 1,Team B474 9
Team A475 2,Team B475 7
Team A476 9,Team B476 9
Team A477 9,Team B477 5
Team A478 3,Team B478 8
Team A479 0,Team B479 7
Team A480 7,Team B480 2
Team A481 2,Team B481 1
Team A482 2,Team B482 8
Team A483 2,Team B483 5
Team A484 8,Team B484 5
Team A485 3,Team B485 8
Team A486 5,Team B486 6
Team A487 1,Team B487 5
Team A488 6,Team B488 1
Team A489 4,Team B489 1
Team A490 9,Team B490 4
Team A491 8,Team B491 2
Team A492 0,Team B492 7
Team A493 1,Team B493 4
Team A494 1,Team B494 3
Team A495 4,Team B495 1
Team A496 3,Team B496 2
Team A497 2,Team B497 8
Team A498 6,Team B498 0
Team A499 0,Team B499 2
Team A500 5,Team B500 9
Team A501 3,Team B501 2
Team A502 1,Team B502 7
Team A503 4,Team B503 2
Team A504 2,Team B504 4
Team A505 3,Team B505 7
Team A506 9,Team B506 5
Team A507 4,Team B507 9
Team A508 9,Team B508 7
Team A509 6,Team B509 0
Team A510 2,Team B510 2
Team A511 0,Team B511 8
Team A512 3,Team B512 9
Team A513 5,Team B513 4
Team A514 2,Team B514 5
Team A515 5,Team B515 4
Team A516 1,Team B516 7
Team A517 6,Team B517 5
Team A518 6,Team B518 3
Team A519 2,Team B519 0
Team A520 5,Team B520 3
Team A521 3,Team B521 7
Team A522 4,Team B522 9
Team A523 0,Team B523 0
Team A524 7,Team B524 2
Team A525 3,Team B525 0
Team A526 3,Team B526 5
Team A527 6,Team B527 3
Team A528 2,Team B528 5
Team A529 2,Team B529 2
Team A530 2,Team B530 9
Team A531 8,Team B531 1
Team A532 7,Team B532 8
Team A533 4,Team B533 6
Team A534 4,Team B534 7
Team A535 5,Team B535 5
Team A536 6,Team B536 6
Team A537 6,Team B537 7
Team A538 2,Team B538 1
Team A539 7,Team B539 6
Team A540 5,Team B540 5
Team A541 5,Team B541 0
Team A542 3,Team B542 2
Team A543 0,Team B543 5
Team A544 3,Team B544 6
Team A545 2,Team B545 8
Team A546 9,Team B546 8
Team A547 7,Team B547 2
Team A548 3,Team B548 0
Team A549 7,Team B549 9
Team A550 4,Team B550 1
Team A551 9,Team B551 1
Team A552 4,Team B552 5
Team A553 1,Team B553 3
Team A554 4,Team B554 3
Team A555 7,Team B555 9
Team A556 1,Team B556 5
Team A557 5,Team B557 2
Team A558 1,Team B558 2
Team A559 4,Team B559 0
Team A560 7,Team B560 7
Team A561 1,Team B561 0
Team A562 1,Team B562 5
Team A563 5,Team B563 4
Team A564 3,Team B564 0
Team A565 2,Team B565 2
Team A566 6,Team B566 2
Team A567 9,Team B567 9
Team A568 2,Team B568 7
Team A569 3,Team B569 2
Team A570 2,Team B570 5
Team A571 4,Team B571 1
Team A572 4,Team B572 2
Team A573 6,Team B573 1
Team A574 3,Team B574 8
Team A575 5,Team B575 0
Team A576 8,Team B576 2
Team A577 0,Team B577 1
Team A578 6,Team B578 9
Team A579 9,Team B579 2
Team A580 4,Team B580 1
Team A581 2,Team B581 6
Team A582 6,Team B582 4
Team A583 2,Team B583 6
Team A584 1,Team B584 4
Team A585 4,Team B585 0
Team A586 1,Team B586 1
Team A587 5,Team B587 6
Team A588 9,Team B588 6
Team A589 6,Team B589 0
Team A590 6,Team B590 7
Team A591 9,Team B591 7
Team A592 1,Team B592 1
Team A593 4,Team B593 9
Team A594 0,Team B594 5
Team A595 8,Team B595 7
Team A596 8,Team B596 9
Team A597 2,Team B597 2
Team A598 5,Team B598 2
Team A599 9,Team B599 1
Team A600 5,Team B600 0
Team A601 3,Team B601 6
Team A602 7,Team B602 4
Team A603 7,Team B603 8
Team A604 1,Team B604 6
Team A605 7,Team B605 8
Team A606 4,Team B606 5
Team A607 6,Team B607 6
Team A608 3,Team B608 6
Team A609 7,Team B609 4
Team A610 7,Team B610 4
Team A611 8,Team B611 3
Team A612 9,Team B612 4
Team A613 5,Team B613 1
Team A614 4,Team B614 1
Team A615 6,Team B615 4
Team A616 6,Team B616 2
Team A617 6,Team B617 4
Team A618 2,Team B618 7
Team A619 3,Team B619 9
Team A620 5,Team B620 1
Team A621 3,Team B621 1
Team A622 0,Team B622 5
Team A623 1,Team B623 4
Team A624 4,Team B624 6
Team A625 2,Team B625 8
Team A626 2,Team B626 0
Team A627 1,Team B627 0
Team A628 7,Team B628 2
Team A629 1,Team B629 4
Team A630 6,Team B630 9
Team A631 2,Team B631 7
Team A632 2,Team B632 9
Team A633 0,Team B633 4
Team A634 6,Team B634 4
Team A635 1,Team B635 0
Team A636 5,Team B636 2
Team A637 9,Team B637 7
Team A638 3,Team B638 9
Team A639 2,Team B639 0
Team A640 7,Team B640 3
Team A641 4,Team B641 8
Team A642 2,Team B642 1
Team A643 0,Team B643 9
Team A644 6,Team B644 2
Team A645 0,Team B645 9
Team A646 1,Team B646 9
Team A647 2,Team B647 6
Team A648 5,Team B648 2
Team A649 7,Team B649 6
Team A650 1,Team B650 9
Team A651 9,Team B651 6
Team A652 4,Team B652 3
Team A653 1,Team B653 7
Team A654 8,Team B654 7
Team A655 7,Team B655 8
Team A656 2,Team B656 3
Team A657 1,Team B657 5
Team A658 7,Team B658 9
Team A659 5,Team B659 7
Team A660 5,Team B660 0
Team A661 9,Team B661 0
Team A662 6,Team B662 1
Team A663 7,Team B663 0
Team A664 3,Team B664 8
Team A665 8,Team B665 2
Team A666 7,Team B666 8
Team A667 2,Team B667 4
Team A668 1,Team B668 6
Team A669 1,Team B669 8
Team A670 4,Team B670 4
Team A671 6,Team B671 5
Team A672 1,Team B672 4
Team A673 1,Team B673 1
Team A674 7,Team B674 1
Team A675 4,Team B675 2
Team A676 4,Team B676 2
Team A677 2,Team B677 2
Team A678 1,Team B678 4
Team A679 1,Team B679 4
Team A680 9,Team B680 6
Team A681 7,Team B681 6
Team A682 7,Team B682 4
Team A683 9,Team B683 9
Team A684 6,Team B684 6
Team A685 2,Team B685 3
Team A686 7,Team B686 1
Team A687 0,Team B687 3
Team A688 6,Team B688 1
Team A689 6,Team B689 5
Team A690 7,Team B690 0
Team A691 8,Team B691 5
Team A692 8,Team B692 9
Team A693 4,Team B693 0
Team A694 7,Team B694 9
Team A695 3,Team B695 6
Team A696 2,Team B696 9
Team A697 4,Team B697 5
Team A698 7,Team B698 4
Team A699 4,Team B699 1
Team A700 9,Team B700 6
Team A701 3,Team B701 2
Team A702 0,Team B702 1
Team A703 9,Team B703 0
Team A704 4,Team B704 0
Team A705 1,Team B705 4
Team A706 5,Team B706 5
Team A707 8,Team B707 6
Team A708 1,Team B708 0
Team A709 1,Team B709 8
Team A710 0,Team B710 4
Team A711 5,Team B711 4
Team A712 7,Team B712 0
Team A713 0,Team B713 4
Team A714 7,Team B714 4
Team A715 4,Team B715 1
Team A716 5,Team B716 1
Team A717 9,Team B717 3
Team A718 4,Team B718 1
Team A719 7,Team B719 1
Team A720 8,Team B720 3
Team A721 4,Team B721 8
Team A722 9,Team B722 7
Team A723 8,Team B723 0
Team A724 9,Team B724 2
Team A725 4,Team B725 9
Team A726 1,Team B726 5
Team A727 4,Team B727 1
Team A728 0,Team B728 8
Team A729 3,Team B729 1
Team A730 5,Team B730 2
Team A731 2,Team B731 8
Team A732 3,Team B732 8
Team A733 5,Team B733 0
Team A734 3,Team B734 9
Team A735 5,Team B735 8
Team A736 3,Team B736 8
Team A737 7,Team B737 5
Team A738 0,Team B738 0
Team A739 3,Team B739 8
Team A740 5,Team B740 5
Team A741 2,Team B741 7
Team A742 4,Team B742 8
Team A743 4,Team B743 4
Team A744 0,Team B744 2
Team A745 2,Team B745 4
Team A746 9,Team B746 5
Team A747 0,Team B747 9
Team A748 6,Team B748 5
Team A749 0,Team B749 4
Team A750 8,Team B750 9
Team A751 9,Team B751 8
Team A752 0,Team B752 8
Team A753 0,Team B753 5
Team A754 9,Team B754 9
Team A755 6,Team B755 7
Team A756 5,Team B756 2
Team A757 6,Team B757 9
Team A758 3,Team B758 6
Team A759 2,Team B759 1
Team A760 3,Team B760 6
Team A761 6,Team B761 5
Team A762 1,Team B762 0
Team A763 8,Team B763 8
Team A764 3,Team B764 7
Team A765 7,Team B765 1
Team A766 9,Team B766 7
Team A767 1,Team B767 2
Team A768 4,Team B768 1
Team A769 9,Team B769 9
Team A770 3,Team B770 2
Team A771 2,Team B771 7
Team A772 6,Team B772 1
Team A773 9,Team B773 0
Team A774 3,Team B774 4
Team A775 5,Team B775 9
Team A776 7,Team B776 3
Team A777 5,Team B777 8
Team A778 9,Team B778 5
Team A779 1,Team B779 1
Team A780 0,Team B780 7
Team A781 8,Team B781 5
Team A782 0,Team B782 3
Team A783 6,Team B783 0
Team A784 0,Team B784 9
Team A785 6,Team B785 0
Team A786 5,Team B786 6
Team A787 7,Team B787 7
Team A788 4,Team B788 0
Team A789 3,Team B789 6
Team A790 6,Team B790 2
Team A791 5,Team B791 4
Team A792 2,Team B792 6
Team A793 4,Team B793 3
Team A794 1,Team B794 6
Team A795 3,Team B795 7
Team A796 6,Team B796 8
Team A797 4,Team B797 0
Team A798 5,Team B798 0
Team A799 2,Team B799 3
Team A800 3,Team B800 5
Team A801 6,Team B801 4
Team A802 4,Team B802 9
Team A803 1,Team B803 7
Team A804 6,Team B804 6
Team A805 9,Team B805 2
Team A806 8,Team B806 1
Team A807 6,Team B807 0
Team A808 1,Team B808 5
Team A809 2,Team B809 0
Team A810 8,Team B810 2
Team A811 0,Team B811 4
Team A812 1,Team B812 3
Team A813 2,Team B813 7
Team A814 4,Team B814 4
Team A815 4,Team B815 4
Team A816 5,Team B816 7
Team A817 3,Team B817 2
Team A818 1,Team B818 2
Team A819 0,Team B819 1
Team A820 7,Team B820 2
Team A821 2,Team B821 1
Team A822 9,Team B822 1
Team A823 3,Team B823 7
Team A824 7,Team B824 9
Team A825 0,Team B825 2
Team A826 6,Team B826 7
Team A827 2,Team B827 8
Team A828 7,Team B828 4
Team A829 2,Team B829 7
Team A830 5,Team B830 5
Team A831 3,Team B831 6
Team A832 1,Team B832 7
Team A833 4,Team B833 8
Team A834 4,Team B834 8
Team A835 5,Team B835 1
Team A836 1,Team B836 6
Team A837 3,Team B837 7
Team A838 1,Team B838 6
Team A839 9,Team B839 5
Team A840 6,Team B840 1
Team A841 7,Team B841 5
Team A842 8,Team B842 2
Team A843 3,Team B843 5
Team A844 4,Team B844 7
Team A845 3,Team B845 6
Team A846 2,Team B846 3
Team A847 0,Team B847 8
Team A848 0,Team B848 0
Team A849 1,Team B849 2
Team A850 5,Team B850 6
Team A851 7,Team B851 9
Team A852 3,Team B852 5
Team A853 0,Team B853 5
Team A854 7,Team B854 3
Team A855 5,Team B855 4
Team A856 9,Team B856 2
Team A857 8,Team B857 1
Team A858 2,Team B858 6
Team A859 6,Team B859 2
Team A860 6,Team B860 7
Team A861 6,Team B861 7
Team A862 2,Team B862 8
Team A863 5,Team B863 2
Team A864 0,Team B864 3
Team A865 0,Team B865 6
Team A866 8,Team B866 3
Team A867 6,Team B867 7
Team A868 0,Team B868 6
Team A869 0,Team B869 1
Team A870 5,Team B870 5
Team A871 8,Team B871 0
Team A872 8,Team B872 6
Team A873 3,Team B873 9
Team A874 0,Team B874 4
Team A875 2,Team B875 0
Team A876 3,Team B876 4
Team A877 9,Team B877 7
Team A878 5,Team B878 1
Team A879 9,Team B879 4
Team A880 7,Team B880 3
Team A881 4,Team B881 0
Team A882 5,Team B882 1
Team A883 7,Team B883 7
Team A884 0,Team B884 8
Team A885 2,Team B885 6
Team A886 0,Team B886 0
Team A887 6,Team B887 1
Team A888 2,Team B888 6
Team A889 9,Team B889 3
Team A890 7,Team B890 7
Team A891 7,Team B891 7
Team A892 6,Team B892 1
Team A893 4,Team B893 2
Team A894 9,Team B894 2
Team A895 4,Team B895 5
Team A896 3,Team B896 7
Team A897 6,Team B897 6
Team A898 0,Team B898 0
Team A899 0,Team B899 9
Team A900 8,Team B900 8
Team A901 1,Team B901 3
Team A902 4,Team B902 8
Team A903 9,Team B903 8
Team A904 4,Team B904 0
Team A905 7,Team B905 6
Team A906 4,Team B906 2
Team A907 1,Team B907 5
Team A908 6,Team B908 5
Team A909 0,Team B909 6
Team A910 6,Team B910 0
Team A911 2,Team B911 9
Team A912 6,Team B912 6
Team A913 8,Team B913 5
Team A914 3,Team B914 0
Team A915 8,Team B915 1
Team A916 6,Team B916 5
Team A917 9,Team B917 4
Team A918 9,Team B918 8
Team A919 8,Team B919 2
Team A920 5,Team B920 6
Team A921 4,Team B921 9
Team A922 8,Team B922 1
Team A923 6,Team B923 3
Team A924 1,Team B924 7
Team A925 2,Team B925 4
Team A926 4,Team B926 7
Team A927 6,Team B927 0
Team A928 2,Team B928 6
Team A929 5,Team B929 8
Team A930 4,Team B930 3
Team A931 6,Team B931 1
Team A932 0,Team B932 7
Team A933 5,Team B933 2
Team A934 2,Team B934 8
Team A935 0,Team B935 6
Team A936 4,Team B936 5
Team A937 9,Team B937 5
Team A938 0,Team B938 6
Team A939 9,Team B939 8
Team A940 2,Team B940 5
Team A941 4,Team B941 5
Team A942 3,Team B942 3
Team A943 4,Team B943 4
Team A944 6,Team B944 6
Team A945 3,Team B945 4
Team A946 2,Team B946 1
Team A947 3,Team B947 9
Team A948 8,Team B948 1
Team A949 4,Team B949 6
Team A950 6,Team B950 9
Team A951 0,Team B951 9
Team A952 9,Team B952 3
Team A953 4,Team B953 6
Team A954 4,Team B954 0
Team A955 1,Team B955 7
Team A956 7,Team B956 8
Team A957 2,Team B957 0
Team A958 9,Team B958 7
Team A959 2,Team B959 6
Team A960 2,Team B960 0
Team A961 7,Team B961 0
Team A962 3,Team B962 2
Team A963 7,Team B963 9
Team A964 8,Team B964 9
Team A965 5,Team B965 8
Team A966 0,Team B966 2
Team A967 6,Team B967 6
Team A968 7,Team B968 1
Team A969 2,Team B969 1
Team A970 7,Team B970 6
Team A971 2,Team B971 8
Team A972 0,Team B972 4
Team A973 5,Team B973 9
Team A974 1,Team B974 7
Team A975 3,Team B975 1
Team A976 0,Team B976 7
Team A977 4,Team B977 5
Team A978 7,Team B978 2
Team A979 4,Team B979 7
Team A980 9,Team B980 8
Team A981 1,Team B981 4
Team A982 0,Team B982 3
Team A983 9,Team B983 2
Team A984 7,Team B984 0
Team A985 6,Team B985 0
Team A986 8,Team B986 4
Team A987 6,Team B987 6
Team A988 6,Team B988 6
Team A989 0,Team B989 9
Team A990 8,Team B990 9
Team A991 7,Team B991 1
Team A992 7,Team B992 7
Team A993 9,Team B993 5
Team A994 3,Team B994 3
Team A995 1,Team B995 7
Team A996 1,Team B996 2
Team A997 7,Team B997 4
Team A998 7,Team B998 8
